GB.MES2;GB.MES1;GB.AC;GB.OPC;GB.NPC1;GB.NPC2;GB.G1.S;GB.G2.M;Astrocyte;Neurons_inhib;Neurons_excit;Oligodendrocyte;OPC;Endothelial;Perivascular_fibroblast;Pericyte;SMC;T_cell;MG;BDM
GDF15;APOE;PRCP;CADM2;GPR56;CD200;;ANP32E;PTCHD1-AS;;;TTLL7;NRXN1;EGFL7;COL6A3;ADGRD1;CARMN;CBLB;;LYZ
ANXA2;CTSB;ATP1B2;TTYH1;TUBA1A;SNAP25;;KIF11;NPAS3;;;TMEFF2;DPP6;TFRC;LAMA4;MYO1B;CACNB2;ZNF831;;PTPN7
EPAS1;C3;AGT;FGF12;PCBP4;PAK3;;PSRC1;GLIS3;;;CNTNAP4;SEZ6L;ITGA6;KCNIP1;CALD1;FAM129A;CYTIP;;SAMHD1
LDHA;LGALS3;PLTP;TMEM206;ETV1;NDRG4;;TUBB4B;TNIK;;;FRMD4B;SMOC1;SLC16A1;SRPX2;ARHGAP10;SLC22A3;TC2N;;SPINT2
P4HA1;MT1E;GPM6B;NEU4;SHD;KIF5A;;SMC4;SLC14A1;;;TF;SLC35F1;PPFIBP1;FOXP2;SLC6A13;SLC38A11;DOCK8;;NFIL3
SERTAD1;EMP3;F3;FXYD6;TNR;UCHL1;;MXD3;TPD52L1;;;EDIL3;NLGN1;PECAM1;NR2F1;SNTB1;COL4A2;PRKCQ;;TMEM123
PFKP;SERPINA3;RAB31;RNF13;AMOTL2;ENO2;;CDC25B;CNTN1;;;ENPP2;SGCZ;INPP5D;SVIL;AC092957.1;ADIRF;GPRIN3;;CIB1
PGK1;ACTN1;PPAP2B;RTKN;DBN1;KIF5C;;OIP5;FAM189A2;;;KCNH8;CNTNAP5;CDYL2;AL445250.1;ABCC9;ARHGAP10;CCND3;;CIITA
EGLN3;PRDX6;ANXA5;GPM6B;HIP1;DDAH2;;REEP4;NRCAM;;;ATP8A1;GRM5;SLC2A1;MIR99AHG;SLC19A1;DSTN;RHOH;;TREM1
SLC6A6;IGFBP7;TSPAN7;LMF1;ABAT;TUBB2A;;FOXM1;BMPR1B;;;AK5;HS6ST3;MYRIP;CPED1;COL4A3;NOTCH3;IKZF3;;VOPP1
CA9;SERPINE1;;ALCAM;ELAVL4;LBH;;TMPO;HPSE2;;;DNAJC6;NRCAM;RIMKLB;GPC3;NID1;ITGA8;MDFIC;;IL10
BNIP3L;PLP2;;PGRMC1;LMF1;LOC150568;;GPSM2;PDE4DIP;;;PCDH9;AC004852.2;EPAS1;COL15A1;PLXDC1;RYR2;IL7R;;PLAC8
RPL21;MGP;;HRASLS;GRIK2;TCF4;;HMGB3;MED12L;;;HDAC2-AS2;GALNT13;SEC14L1;TMEM132C;RIPOR3;PPM1L;PPP2R5C;;DOK3
TRAM1;CLIC4;;BCAS1;SERINC5;GNG3;;ARHGAP11A;DCLK2;;;SLAIN1;TMEM132D;NPIPB5;SLC6A20;GPC5;ADCY3;AKNA;;CYBB
UFM1;GFPT2;;RAB31;TSPAN13;NFIB;;RANGAP1;STON2;;;PCSK6;PDZRN4;IRAK3;CENPP;PID1;SYNPO2;TRG-AS1;;CYTH1
ASNS;GSN;;PLLP;ELMO1;DPYSL5;;H2AFZ;LRP1B;;;TMTC2;PCDH7;PRKCH;FMO2;EBF1;ADAMTS1;MYO1F;;GPR132
GOLT1B;NNMT;;FABP5;GLCCI1;CRABP1;;;MAPK4;;;DOCK5;NLGN4X;ZNF366;CELF2;PAG1;EBF1;PYHIN1;;SYNGR2
